BOARD,FAMILY,NVENC Generation,Desktop/ Mobile,# OF CHIPS,Total # of NVENC,Max # of concurrent sessions,H.264 (AVCHD) YUV 4:2:0,H.264 (AVCHD) YUV 4:2:2,H.264 (AVCHD) YUV 4:4:4,H.264 (AVCHD) Lossless,H.265 (HEVC) 4K YUV 4:2:0,H.265 (HEVC) YUV 4:2:2,H.265 (HEVC) 4K YUV 4:4:4,H.265 (HEVC) 4K Lossless,H.265 (HEVC) 8K,HEVC 10-bit support,HEVC B Frame support,AV1 YUV 4:2:0
GeForce RTX 4070 Ti Super,Ada Lovelace,8th Gen,D,1,2,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
GeForce RTX 4080 Laptop,Ada Lovelace,8th Gen,M,1,2,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
GeForce RTX 4080 16GB,Ada Lovelace,8th Gen,D,1,2,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
GeForce RTX 4080 Super,Ada Lovelace,8th Gen,D,1,2,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
GeForce RTX 4090 Laptop,Ada Lovelace,8th Gen,M,1,2,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
GeForce RTX 4090,Ada Lovelace,8th Gen,D,1,2,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
GeForce RTX 5070,Blackwell,9th Gen,D,1,1,8,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
GeForce RTX 5070 Ti,Blackwell,9th Gen,D,1,2,8,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
GeForce RTX 5080,Blackwell,9th Gen,D,1,2,8,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
GeForce RTX 5090,Blackwell,9th Gen,D,1,3,8,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
GeForce RTX 5070 Laptop,Blackwell,9th Gen,M,1,1,8,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
GeForce RTX 5070 Ti Laptop,Blackwell,9th Gen,M,1,1,8,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
GeForce RTX 5080 Laptop,Blackwell,9th Gen,M,1,2,8,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
GeForce RTX 5090 Laptop,Blackwell,9th Gen,M,1,3,8,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
