BOARD,FAMILY,NVENC Generation,Desktop/ Mobile,# OF CHIPS,Total # of NVENC,Max # of concurrent sessions,H.264 (AVCHD) YUV 4:2:0,H.264 (AVCHD) YUV 4:2:2,H.264 (AVCHD) YUV 4:4:4,H.264 (AVCHD) Lossless,H.265 (HEVC) 4K YUV 4:2:0,H.265 (HEVC) YUV 4:2:2,H.265 (HEVC) 4K YUV 4:4:4,H.265 (HEVC) 4K Lossless,H.265 (HEVC) 8K,HEVC 10-bit support,HEVC B Frame support,AV1 YUV 4:2:0
NVIDIA RTX A5000,Ampere,7th Gen,D,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA RTX A5500,Ampere,7th Gen,D,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA RTX A6000,Ampere,7th Gen,D,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA RTX A4000 Laptop GPU,Ampere,7th Gen,M,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA RTX A4500 Laptop GPU,Ampere,7th Gen,M,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA RTX A5000 Laptop GPU,Ampere,7th Gen,M,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA RTX A5500 Laptop GPU,Ampere,7th Gen,M,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA RTX A2000,Ampere,7th Gen,D,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA RTX A2000 12GB,Ampere,7th Gen,D,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA RTX A1000 6GB Laptop GPU,Ampere,7th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA RTX 500 Ada Generation Laptop GPU,Ada Lovelace,8th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
NVIDIA RTX 1000 Ada Generation Laptop GPU,Ada Lovelace,8th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
NVIDIA RTX 2000 Ada Generation Laptop GPU,Ada Lovelace,8th Gen,M,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
NVIDIA RTX 3000 Ada Generation Laptop GPU,Ada Lovelace,8th Gen,M,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
NVIDIA RTX 3500 Ada Generation Laptop GPU,Ada Lovelace,8th Gen,M,1,2,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
NVIDIA RTX 4000 Ada Generation Laptop GPU,Ada Lovelace,8th Gen,M,1,2,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
NVIDIA RTX 5000 Ada Generation Laptop GPU,Ada Lovelace,8th Gen,M,1,2,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
NVIDIA RTX 2000 Ada Generation,Ada Lovelace,8th Gen,D,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
NVIDIA RTX 4000 SFF Ada Generation,Ada Lovelace,8th Gen,D,1,2,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
NVIDIA RTX 4000 Ada Generation,Ada Lovelace,8th Gen,D,1,2,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
NVIDIA RTX 4500 Ada Generation,Ada Lovelace,8th Gen,D,1,2,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
NVIDIA RTX 5000 Ada Generation,Ada Lovelace,8th Gen,D,1,2,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
NVIDIA RTX 6000 Ada Generation,Ada Lovelace,8th Gen,D,1,3,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
NVIDIA RTX PRO 500 Blackwell Generation Laptop GPU,Blackwell,9th Gen,M,1,1,Unrestricted,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
NVIDIA RTX PRO 1000 Blackwell Generation Laptop GPU,Blackwell,9th Gen,M,1,1,Unrestricted,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
NVIDIA RTX PRO 2000 Blackwell Generation Laptop GPU,Blackwell,9th Gen,M,1,1,Unrestricted,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
NVIDIA RTX PRO 3000 Blackwell Generation Laptop GPU,Blackwell,9th Gen,M,1,1,Unrestricted,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
NVIDIA RTX PRO 4000 Blackwell Generation Laptop GPU,Blackwell,9th Gen,M,1,2,Unrestricted,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
NVIDIA RTX PRO 5000 Blackwell Generation Laptop GPU,Blackwell,9th Gen,M,1,3,Unrestricted,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
NVIDIA RTX PRO 4000 Blackwell,Blackwell,9th Gen,D,1,2,Unrestricted,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
NVIDIA RTX PRO 4500 Blackwell,Blackwell,9th Gen,D,1,2,Unrestricted,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
NVIDIA RTX PRO 5000 Blackwell,Blackwell,9th Gen,D,1,3,Unrestricted,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,Blackwell,9th Gen,D,1,4,Unrestricted,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
NVIDIA RTX PRO 6000 Blackwell Workstation Edition,Blackwell,9th Gen,D,1,4,Unrestricted,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
